Event Type,Sender,Receiver,Success,Timestamp
SMS,user2@gmail.com,user@gmail.com,True,2026-04-13 19:16:33.056655+00:00
SMS,user2@gmail.com,user3@gmail.com,True,2026-04-13 19:16:33.059101+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-13 19:20:38.527370+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-13 19:21:31.501781+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-13 19:22:26.798246+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-13 19:25:56.254312+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-13 19:30:55.238988+00:00
SMS,user2@gmail.com,user@gmail.com,True,2026-04-13 19:30:59.058017+00:00
SMS,user2@gmail.com,user@gmail.com,True,2026-04-13 19:37:58.775401+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-13 19:38:03.683224+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-13 19:42:53.280119+00:00
SMS,user@gmail.com,user3@gmail.com,True,2026-04-13 19:42:53.282242+00:00
SMS,user2@gmail.com,user@gmail.com,True,2026-04-13 19:42:58.122763+00:00
SMS,user2@gmail.com,user3@gmail.com,True,2026-04-13 19:42:58.124790+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-13 19:49:37.336640+00:00
SMS,user@gmail.com,user3@gmail.com,True,2026-04-13 19:49:37.338765+00:00
SMS,user2@gmail.com,user@gmail.com,True,2026-04-13 19:49:39.777330+00:00
SMS,user2@gmail.com,user3@gmail.com,True,2026-04-13 19:49:39.778902+00:00
SMS,user@gmail.com,user3@gmail.com,True,2026-04-13 19:58:46.904446+00:00
SMS,user@gmail.com,user4@gmail.com,True,2026-04-13 19:58:46.906657+00:00
SMS,user2@gmail.com,user@gmail.com,True,2026-04-13 19:59:03.414691+00:00
SMS,user2@gmail.com,user3@gmail.com,True,2026-04-13 19:59:03.417026+00:00
SMS,user2@gmail.com,user4@gmail.com,True,2026-04-13 19:59:03.418469+00:00
LOGIN,user2@gmail.com,SYSTEM,True,2026-04-13 20:56:39.799850+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-13 21:12:03.779796+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-13 21:12:09.363079+00:00
LOGIN,user2@gmail.com,SYSTEM,True,2026-04-13 21:14:01.340004+00:00
LOGIN,user@gmail.com,SYSTEM,True,2026-04-13 21:14:50.763875+00:00
LOGIN,user2@gmai.com,SYSTEM,False,2026-04-13 21:15:01.692368+00:00
LOGIN,user2@gmail.com,SYSTEM,True,2026-04-13 21:16:24.144276+00:00
SMS,user2@gmail.com,user@gmail.com,True,2026-04-13 21:16:58.009123+00:00
SMS,user2@gmail.com,user3@gmail.com,True,2026-04-13 21:16:58.011080+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-13 21:17:48.702645+00:00
SMS,user@gmail.com,user3@gmail.com,True,2026-04-13 21:17:48.704533+00:00
SMS,user2@gmail.com,user@gmail.com,True,2026-04-13 21:17:52.309010+00:00
SMS,user2@gmail.com,user3@gmail.com,True,2026-04-13 21:17:52.310037+00:00
SMS,user@gmail.com,user3@gmail.com,True,2026-04-13 21:22:46.454369+00:00
SMS,user@gmail.com,user4@gmail.com,True,2026-04-13 21:22:46.455728+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-13 22:11:01.297289+00:00
LOGIN,user@gmail.com,SYSTEM,False,2026-04-13 22:11:05.707081+00:00
LOGIN,user@gmail.com,SYSTEM,True,2026-04-13 22:12:31.345028+00:00
LOGIN,user2@gmail.com,SYSTEM,True,2026-04-13 22:12:36.477450+00:00
SMS,user@gmail.com,user2@gmail.com,True,2026-04-13 22:13:19.891320+00:00
SMS,user@gmail.com,user3@gmail.com,True,2026-04-13 22:13:19.893042+00:00
SMS,user2@gmail.com,user@gmail.com,True,2026-04-13 22:13:26.039655+00:00
SMS,user2@gmail.com,user3@gmail.com,True,2026-04-13 22:13:26.042009+00:00
SMS,user2@gmail.com,user@gmail.com,True,2026-04-13 22:14:32.966037+00:00
SMS,user2@gmail.com,user3@gmail.com,True,2026-04-13 22:14:32.967390+00:00
SMS,user2@gmail.com,user4@gmail.com,True,2026-04-13 22:14:32.968390+00:00
